source,target,label
chif exectiv,chief executive officer,PT
suprwsor,supervisor,PT
suptervisor,supervisor,PT
aemployee,employee,PT
manegemend,management,PT
superintebdent,superintendent,PT
selse represantative,salesperson,PT
sgt,sergeant,PT
learning & organizational development specialist,learning and development specialist,PT
manager product support,product support manager,PT
advestiser,advertiser,PT
obiee developer,business intelligence developer,PT
ad sales manager,advertising sales manager,PT
telesalse,telesales specialist,PT
pga teaching professional,golf professional,PT
assistant chief financial officer to,assistant to the chief financial officer,PT
assistant communications marketing,marketing communication assistant,PT
escrow asstiant,escrow assistant,PT
market intelligence,market intelligence specialist,PT
natualist,naturalist,PT
freight supervisor,freight manager,PT
business development manager strategic,strategic business development manager,PT
director finance managing,managing director finance,PT
"manager, nutrition",nutrition manager,PT
head of credit risk,head of credinformation technology risk,PT
coordinator human resources senior,senior human resources coordinator,PT
physican liasion,physician liaison,PT
deputy general manager operations,deputy general manager operations,PT
consultant financial system,financial system consultant,PT
haed of division,divisional head,PT
"manager, front line",front line manager,PT
design manager software,software design manager,PT
animator computer graphic,computer graphic animator,PT
travel agency,travel agency specialist,PT
director human international resources,director international human resources,PT
development president production vice,vice president production development,PT
lead procurement team,procurement team lead,PT
development engineer web,web development engineer,PT
analyst financial market,financial market analyst,PT
casino executive host,executive casino host,PT
assistant chief executive personal to,personal assistant to chief executive,PT
administrative assistant corporate,corporate administrative assistant,PT
content editor online,online content editor,PT
designer senior sound,senior sound designer,PT
agent reservations ticketing,reservations ticketing agent,PT
postpartum care bsn,postpartum nurse,PT
orthopaedic rn,orthopedic nurse,PT
own company,owner,PT
accounts exicutives,account executive,PT
leader,lead,PT
maagemet,management,PT
salsman,salesperson,PT
scheduelr,scheduler,PT
theechig,teaching specialist,PT
finance co-op student,finance intern,PT
make-up artist,makeup artist,PT
"senior associate, management consulting",senior management consultant,PT
strategic marketing,strategic marketing specialist,PT
edi specialist,electronic data interchange specialist,PT
food beverage specialist,food and beverage specialist,PT
accoucheuse,midwife,PT
compensation director,director compensation,PT
heedie,headmaster,PT
haordresser,hairdresser,PT
banqeut,banquet,PT
horskeeping,housekeeping specialist,PT
dean assistant,assistant to the dean,PT
engineer information system,information system engineer,PT
administrator assistant network,assistant network administrator,PT
credit manager regional,regional credit manager,PT
vp strategic alliances,vice president of strategic alliances,PT
director operations product,director product operations,PT
director regional service,regional service director,PT
computer engineer network,computer network engineer,PT
donor manager relations,donor relations manager,PT
product design director,director of product design,PT
alumni associate director relations,associate director of alumni relations,PT
advertisement president sales vice,vice president advertisement sales,PT
echocardiographer,cardiac sonographer,PT
"manager, meat",meat manager,PT
manager multi unit,multi unit manager,PT
art intern therapy,art therapy intern,PT
introduction manager new product project,new product introduction project manager,PT
principal hr consultant,principal human resources consultant,PT
part department manager,parts department manager,PT
export manager project,export project manager,PT
analyst senior storage,senior storage analyst,PT
engineer firmware senior staff,senior staff firmware engineer,PT
senior specialist usability,senior usability specialist,PT
urology bsn,urology nurse,PT
medical/surgical licensed practical nurse,medical surgical licensed practical nurse,PT
accident / emergency rn,accident and emergency nurse,PT
coffee shop or cafeteria lunchroom counter attendant,food counter clerk,PT
supervayser,supervisor,PT
managementq,management,PT
comimication,communications specialist,PT
sinor officeer,senior officer,PT
computer help desk specialist,help desk specialist,PT
marketner,marketer,PT
msrketer,marketer,PT
press,press specialist,PT
company head,business executive,PT
meditatior,mediator,PT
rreservations,reservations specialist,PT
caterings,catering specialist,PT
oil engineer,petroleum engineer,PT
developer lead web,lead web developer,PT
information technology management consultant,information technology management consultant,PT
executive housekeeping,executive housekeeper,PT
manager service delivery,service project manager,PT
television talk show host,talk show host,PT
director experience user,director of user experience,PT
chief executive group,group chief executive officer,PT
artist development,artist development specialist,PT
duty offcier,duty officer,PT
consultant management office program,program management office consultant,PT
engineering hardware manager,hardware engineering manager,PT
"manager, shipping receiving",shipping receiving manager,PT
perpetrator,preparator,PT
data opreator,data operator,PT
manager recruiting regional,regional recruiting manager,PT
"manager, commercial contract",commercial contract manager,PT
chief operations officer assistant,assistant to chief operations officer,PT
"manager, process support",process support manager,PT
account lead payable team,accounts payable team lead,PT
manager marketing senior services,senior manager marketing services,PT
director services youth,director of youth services,PT
community manager online,online community manager,PT
cook supervisor,kitchen supervisor,PT
endodentiste,endodontist,PT
consultant information technology training,information technology training consultant,PT
engineering manager release,manager release engineering,PT
"manager, federal program",federal program manager,PT
account enterprise manager senior,senior enterprise account manager,PT
business manager marketing unit,business unit marketing manager,PT
director information interim technology,interim information technology director,PT
registered midwife,nurse midwife,PT
robotics technologist,robotics technician,PT
supervoisr,supervisor,PT
supservior,supervisor,PT
reginoal managar,regional manager,PT
emplojee,employee,PT
manajemen,management,PT
manajemente,management,PT
communicstions,communications specialist,PT
professiknsl,professional,PT
professopnal,professional,PT
data anaylsts,data analyst,PT
superntendent,superintendent,PT
suprtintendent,superintendent,PT
saleas man,salesperson,PT
"manager, warehouse",warehouse manager,PT
merkerter,marketer,PT
anuimation,animation specialist,PT
trucker,truck driver,PT
"head, customer service",head of customer service,PT
housemaidgirl,housekeeper,PT
hairdressr,hairdresser,PT
management information system analyst,management information system analyst,PT
deputy manager hr,deputy manager human resources,PT
"manager, technical solutions",technical solutions manager,PT
executive sales,executive sales representative,PT
distridution coronator,distribution coordinator,PT
"head, corporate communications",head of corporate communications,PT
human manager resources system,human resources system manager,PT
catalogue manager,catalog manager,PT
director quality improvement,director of quality improvement,PT
analyst lead support,lead support analyst,PT
principal quality assurance engineer,principal quality assurance engineer,PT
vice president board directors,vice president board of directors,PT
channel manager program,channel program manager,PT
fighder,fighter,PT
customer executive management relationship,customer relationship management executive,PT
"manager, information technology communications",information technology communications manager,PT
"manager, category sales",category sales manager,PT
financial institutions head,head of financial institutions,PT
care center customer manager,customer service center manager,PT
business development head strategy,head strategy business development,PT
maintenance manager production,production and maintenance manager,PT
architect principal technical,principal technical architect,PT
department marketing trainee,trainee marketing department,PT
consultant development human organization resources,human resources organization development consultant,PT
line manager production,production line manager,PT
co-operative education,cooperative education student,PT
animal care,animal care technician,PT
associate audit senior,senior associate auditor,PT
executive junior research,junior research executive,PT
analyst associate business system,associate business system analyst,PT
direct observation unit nurse,progressive care nurse,PT
fertility nurse,fertility nurse,PT
accounts exctive,account executive,PT
assitent managr,assistant manager,PT
secratairy,secretary,PT
secretay,secretary,PT
szcretary,secretary,PT
managehent,management,PT
commiuncation,communications specialist,PT
commiunication,communications specialist,PT
salesclerk,sales assistant,PT
porfessinal,professional,PT
workara,worker,PT
ambassardor,ambassador,PT
"manager, treasury",treasury manager,PT
mediaetor,mediator,PT
marketing sales support,sales marketing support,PT
cg designer,computer graphic designer,PT
english second language,english second language specialist,PT
theatre director,theater director,PT
general manager store,general store manager,PT
assistant manager research,assistant research manager,PT
end support user,end user support specialist,PT
"manager, technical system",technical system manager,PT
construkctor,constructor,PT
global manager quality,global quality manager,PT
analyst financial reporting,financial reporting analyst,PT
"manager, business market",business market manager,PT
activities director student,director of student activities,PT
accounting consultant financial,finance accounting consultant,PT
director investment managing,managing director investment,PT
hygienyist,hygienist,PT
consultant sap support,sap support consultant,PT
head project management office,head of project management office,PT
"manager, transformation program",transformation program manager,PT
buyer introduction new product,new product introduction buyer,PT
associate engineer quality,associate quality engineer,PT
athletic student trainer,student athletic trainer,PT
foreign trade sales,foreign trade specialist,PT
business engineering support system,business support system engineering,PT
advisory architect information technology,consulting information technology architect,PT
country deputy manager,deputy country manager,PT
triage rn,triage nurse,PT
criticalist,critical care veterinarian,PT
sale,sales specialist,PT
ofc mgr,office manager,PT
attoroney,attorney,PT
adwasior,advisor,PT
web designign,web designer,PT
retire,retired,PT
superintencdent,superintendent,PT
selsperson,salesperson,PT
"manager, asset",asset manager,PT
"manager, management information systems",management information systems manager,PT
reservations,reservations specialist,PT
guest serivce,guest services specialist,PT
"manager, financial planning analysis",financial planning and analysis manager,PT
catering,catering specialist,PT
automation,automation specialist,PT
houshkeeping,housekeeping specialist,PT
business affairs,business affairs specialist,PT
callcenter director,call center director,PT
customer representative sales,customer sales representative,PT
affairs business legal,business legal affairs,PT
assistant student teaching,student teaching assistant,PT
research teaching,teaching research specialist,PT
"manager, information technology delivery",information technology delivery manager,PT
event manager public relations,public relations event manager,PT
enterprise manager marketing,enterprise marketing manager,PT
corporate director training,director of corporate training,PT
developer lead project senior,senior developer project lead,PT
business development president sales senior vice,senior vice president sales business development,PT
"manager, workers compensation",workers compensation manager,PT
fund hedge manager,hedge fund manager,PT
information infrastructure manager operations technology,information technology infrastructure operations manager,PT
financial application,financial application specialist,PT
curriculum development director,director of curriculum development,PT
counselor senior travel,senior travel counselor,PT
rn maternal/child health,health visitor,PT
pediatric intensive care unit registered nurse,pediatric intensive care nurse,PT
in vitro fertilization nurse coordinator,fertility nurse coordinator,PT
long term care nurse,long-term care nurse,PT
management manager office program program,program manager,PT
seurevisor,supervisor,PT
suparviaser,supervisor,PT
suppervioser,supervisor,PT
holder scholarship,student,PT
chiefff,head,PT
emploiye,employee,PT
profassional,professional,PT
superintentdant,superintendent,PT
purchqser,purchaser,PT
techincial services,technical services specialist,PT
training and development practitioner,training and development specialist,PT
communications officer,communications officer,PT
singing waiter or waitress,food server,PT
vp product development,vice president of product development,PT
shop mangar,shop manager,PT
talent acquisition,talent acquisition specialist,PT
conductore,conductor,PT
chain consultant supply,supply chain consultant,PT
caetering,catering specialist,PT
telesalea,telesales specialist,PT
grovernment,civil servant,PT
haedresser,hairdresser,PT
hairdrssser,hairdresser,PT
transcripir,transcriptionist,PT
outsourcing director,director of outsourcing,PT
housekeepina,housekeeping specialist,PT
vendor specialist,vendor relations specialist,PT
chief manager project,head project manager,PT
"director, annual giving",director of annual giving,PT
hh nursing aide,home health aide,PT
project manager application development,application project manager,PT
director brand management,director of brand management,PT
"manager, safety environmental",safety environmental manager,PT
application circuit integrated manager specific,application specific integrated circuit manager,PT
manager network sales,network sales manager,PT
pannalist,panelist,PT
consultant human payroll resources,human resources payroll consultant,PT
engineer senior transportation,senior transportation engineer,PT
director services special,director of special services,PT
masssge,massage practitioner,PT
president publicity vice,vice president publicity,PT
surveillance director,director of surveillance,PT
"head, marketing operations",head of marketing operations,PT
area director marketing sales,area director of sales marketing,PT
analyst sap support,sap support analyst,PT
"manager, family case",family case manager,PT
head web development,head of web development,PT
"manager, records information",records information manager,PT
research student summer,summer research student,PT
analyst customer senior support,senior customer support analyst,PT
biological engineering,biological engineering specialist,PT
training and development facilitator,human resources facilitator,PT
emploowe,employee,PT
haed of department,head of department,PT
superintendwnt,superintendent,PT
sels reprezentativ,salesperson,PT
incharge laboratory,laboratory manager,PT
manager distribution,distribution manager,PT
speakar,speaker,PT
taeaching,teaching specialist,PT
conciliator,mediator,PT
architetural,architectural specialist,PT
"manager, application support",application support manager,PT
schollarship,scholarship,PT
communication internal specialist,internal communication specialist,PT
implementation manager senior,senior implementation manager,PT
art director interactive,interactive art director,PT
social media guru,social media marketing specialist,PT
patient services,patient services specialist,PT
director marketing technical,director technical marketing,PT
"manager, education and training",education and training manager,PT
director housekeeping,director of housekeeping,PT
account manager program,account program manager,PT
engineering project management,engineering project management specialist,PT
manager middle office,middle office manager,PT
spokesmodel,promotional model,PT
care director patient services,director of patient services,PT
"head, customer support",head of customer support,PT
"manager, web operations",web operations manager,PT
head market risk,head of market risk,PT
consulting manager solutions,manager solutions consulting,PT
manager premier relationship,premier client manager,PT
icu registered nurse,intensive care nurse,PT
assistant program support,program support assistant,PT
business consultant finance,financial business consultant,PT
finance information president technology vice,vice president finance information technology,PT
marketing operations president sales vice,vice president sales marketing operations,PT
international manager training,international training manager,PT
director excellence process,director process excellence,PT
care manager program,care program manager,PT
engineering supervisor system,system engineering supervisor,PT
business development manager sales senior,senior manager sales business development,PT
"manager, claims operations",claims operations manager,PT
prn nursing assistant,prn certified nursing assistant,PT
water plant operator,water treatment operator,PT
glass cutter,glazier,PT
supervisary,supervisor,PT
secrartry,secretary,PT
managemanat,management,PT
manjament,management,PT
professikonal,professional,PT
solifcitor,solicitor,PT
crime lord,boss,PT
"head, human resources",head of human resources,PT
promotional,promotions specialist,PT
teacfhing,teaching specialist,PT
